"","species","lat","long"
"1","tyla",-76.5519345347507,38.8751727127374
"2","scam",-76.5517023206206,38.87517671599
"3","ivfr",-76.5514731746469,38.8751789524341
"4","tyla",-76.5512298700775,38.8746409490119
"5","spcy",-76.5512352894745,38.8748223373601
"6","ivfr spcy",-76.5512372574435,38.8750013836858
"7","ivfr",-76.5512420506403,38.8751815368466
"8","scam",-76.5510002057352,38.8746448471445
"9","ivfr phau",-76.5510043741945,38.8748243958916
"10","",-76.5510082228221,38.8750051383131
"11","ivfr",-76.55101162372,38.8751843728555
"12","ivfr spcy",-76.5507690997718,38.8746465923598
"13","ivfr",-76.5507711760599,38.8748280251416
"14","spcy",-76.5507781318162,38.8750080234596
"15","ivfr",-76.5507813755291,38.8751880080005
"16","spcy",-76.5507609247258,38.8753682531871
"17","scam",-76.5505389488608,38.8746514421861
"18","ivfr",-76.5505428417128,38.8748305620975
"19","ivfr",-76.55054822597,38.8750114733767
"20","phau",-76.5505508323202,38.87519079959
"21","ivfr",-76.5505538073531,38.8753717068102
"22","spcy",-76.5505319491655,38.8755508713238
"23","scam",-76.5502999851984,38.8744696881226
"24","ivfr",-76.5503003205732,38.8746504997672
"25","ivfr",-76.5503144698339,38.874841319247
"26","ivfr",-76.5503221234277,38.8750117095334
"27","ivfr",-76.550325864824,38.8752035097126
"28","c4 scam",-76.5503207162294,38.8753775594296
"29","c4",-76.5503279442272,38.8755589936338
"30","tyla",-76.5500771670474,38.874109687445
"31","scam",-76.5500621208243,38.8742920504337
"32","c4",-76.5500707542048,38.874479847963
"33","c4 scam",-76.5500706087495,38.8746583186709
"34","c4 scam",-76.5500758890091,38.8748375769754
"35","ivfr",-76.5500928251042,38.8751975119319
"36","c4",-76.550093802605,38.8753788511799
"37","c4",-76.5500995360591,38.8755604967249
"38","phau",-76.5500979353637,38.875729282045
"39","scam",-76.5498206887114,38.8733991629258
"40","scam",-76.5498251878647,38.8735797526411
"41","c4",-76.5498385245249,38.8741194153505
"42","c4 scam",-76.5498456413332,38.8746587550864
"43","c4",-76.5498533571315,38.8748404194094
"44","c4",-76.5498413158009,38.8750168043198
"45","ivfr phau",-76.5498544196239,38.8751986854571
